school_name,rating,n_reviews,nces_name_plus_zipcode,state_name_public_school_latest_available_year,state_name_public_school_2020_21,state_abbr_public_school_latest_available_year,school_name_public_school_2020_21,school_id_nces_assigned_public_school_latest_available_year,agency_name_public_school_2020_21,agency_id_nces_assigned_public_school_latest_available_year,location_address_1_public_school_2020_21,location_address_2_public_school_2020_21,location_address_3_public_school_2020_21,location_zip_public_school_2020_21,school_type_public_school_2020_21,agency_type_district_2020_21,start_of_year_status_public_school_2020_21,updated_status_public_school_2020_21,effective_date_of_updated_status_public_school_2020_21,charter_school_public_school_2020_21,magnet_school_public_school_2020_21,locale_public_school_2020_21,school_wide_title_i_public_school_2020_21,title_i_eligible_school_public_school_2020_21,title_i_school_status_public_school_2020_21,latitude_public_school_2020_21,longitude_public_school_2020_21,state_school_id_public_school_2020_21,state_agency_id_public_school_2020_21,national_school_lunch_program_public_school_2020_21,virtual_school_status_sy_2016_17_onward_public_school_2020_21,charter_authorizer_state_id_primary_public_school_2020_21,school_level_sy_2017_18_onward_public_school_2020_21,lowest_grade_offered_public_school_2020_21,highest_grade_offered_public_school_2020_21,total_students_all_grades_excludes_ae_public_school_2020_21,american_indian_alaska_native_students_public_school_2020_21,asian_or_asian_pacific_islander_students_public_school_2020_21,hispanic_students_public_school_2020_21,black_or_african_american_students_public_school_2020_21,white_students_public_school_2020_21,nat_hawaiian_or_other_pacific_isl_students_public_school_2020_21,two_or_more_races_students_public_school_2020_21,full_time_equivalent_fte_teachers_public_school_2020_21,pupil_teacher_ratio_public_school_2020_21
SOUTHEAST GUILFORD MIDDLE,4.1,16,SOUTHEAST GUILFORD MIDDLE 27406,North Carolina,NORTH CAROLINA,NC,Southeast Guilford Middle,370192000845,Guilford County Schools,3701920,4825 Woody Mill Road,†,†,27406,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.972,-79.6943,NC-410-550,NC-410,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,794,5,19,96,241,389,1,43,51.91,15.30
SOUTHEAST HALIFAX COLLEGIATE PREP ACADEM,5,3,SOUTHEAST HALIFAX COLLEGIATE PREP ACADEM 27839,North Carolina,NORTH CAROLINA,NC,Southeast Halifax Collegiate Prep Academ,370195002157,Halifax County Schools,3701950,16683 Hwy 125,†,†,27839,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,36.2193,-77.5509,NC-420-358,NC-420,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,191,"=""0""",1,6,182,1,"=""0""",1,17.80,10.73
SOUTHEAST MIDDLE,3.8,11,SOUTHEAST MIDDLE 28146,North Carolina,NORTH CAROLINA,NC,Southeast Middle,370405002543,Rowan-Salisbury Schools,3704050,1570 Peeler Rd,†,†,28146,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.608,-80.5088,NC-800-398,NC-800,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,583,"=""0""",7,218,32,305,"=""0""",21,41.50,14.05
SOUTHEAST MIDDLE,3.2,18,SOUTHEAST MIDDLE 27284,North Carolina,NORTH CAROLINA,NC,Southeast Middle,370150002380,Winston Salem / Forsyth County Schools,3701500,1200 Old Salem Road,†,†,27284,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,36.0808,-80.0882,NC-340-516,NC-340,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,1064,1,8,382,268,348,"=""0""",57,55.56,19.15
SOUTHEAST RALEIGH HIGH,3.8,28,SOUTHEAST RALEIGH HIGH 27610,North Carolina,NORTH CAROLINA,NC,Southeast Raleigh High,370472002355,Wake County Schools,3704720,2600 Rock Quarry Road,†,†,27610,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,1-Yes,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,35.7456,-78.604,NC-920-562,NC-920,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,1504,1,18,468,863,109,2,43,104.83,14.35
SOUTHEASTERN ACADEMY,3.5,8,SOUTHEASTERN ACADEMY 28358,North Carolina,NORTH CAROLINA,NC,Southeastern Academy,370034603302,Southeastern Academy,3700346,12251 NC HWY 41 North,†,†,28358,1-Regular school,7-Independent Charter District,1-Open,1-Open,12/14/2020,1-Yes,2-No,42-Rural: Distant,†,2-No,6-Not a Title I school,34.6516,-78.8736,NC-78B-000,NC-78B,No,NOTVIRTUAL,"=""01SBE""",Elementary,Kindergarten,8th Grade,213,39,6,3,12,142,1,10,16.16,13.18
SOUTHEASTERN RANDOLPH MIDDLE SCHOOL,3.9,9,SOUTHEASTERN RANDOLPH MIDDLE SCHOOL 27316,North Carolina,NORTH CAROLINA,NC,Southeastern Randolph Middle School,370378000905,Randolph County School System,3703780,5302 Foushee Rd,†,†,27316,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.7292,-79.6357,NC-760-357,NC-760,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,501,"=""0""","=""0""",156,41,269,"=""0""",35,33.00,15.18
SOUTHEASTERN STOKES MIDDLE SCHOOL,4.3,9,SOUTHEASTERN STOKES MIDDLE SCHOOL 27052,North Carolina,NORTH CAROLINA,NC,Southeastern Stokes Middle School,370438001742,Stokes County Schools,3704380,1044 N Main Street,†,†,27052,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,36.3102,-80.1388,NC-850-350,NC-850,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,406,1,1,19,22,342,"=""0""",21,30.00,13.53
SOUTHERN ALAMANCE HIGH,3.1,27,SOUTHERN ALAMANCE HIGH 27253,North Carolina,NORTH CAROLINA,NC,Southern Alamance High,370003000016,Alamance-Burlington Schools,3700030,631 Southern High Road,†,†,27253,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,†,2-No,6-Not a Title I school,36.002,-79.406382,NC-010-388,NC-010,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,1345,5,20,235,101,932,"=""0""",52,76.62,17.55
SOUTHERN ALAMANCE MIDDLE,2.6,13,SOUTHERN ALAMANCE MIDDLE 27253,North Carolina,NORTH CAROLINA,NC,Southern Alamance Middle,370003000017,Alamance-Burlington Schools,3700030,771 Southern High Road,†,†,27253,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,36.0043,-79.4089,NC-010-390,NC-010,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,733,1,4,94,42,561,"=""0""",31,43.25,16.95
SOUTHERN ELEMENTARY,5,3,SOUTHERN ELEMENTARY 27406,North Carolina,NORTH CAROLINA,NC,Southern Elementary,370192000850,Guilford County Schools,3701920,5720 Drake Road,†,†,27406,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,35.9443,-79.8564,NC-410-553,NC-410,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,243,3,11,99,15,105,"=""0""",10,17.20,14.13
SOUTHERN GUILFORD HIGH,3.9,28,SOUTHERN GUILFORD HIGH 27406,North Carolina,NORTH CAROLINA,NC,Southern Guilford High,370192000849,Guilford County Schools,3701920,5700 Drake Road,†,†,27406,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,1-Yes,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,35.9495,-79.8554,NC-410-556,NC-410,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,1048,9,93,311,383,216,"=""0""",36,65.00,16.12
SOUTHERN GUILFORD MIDDLE,3.8,21,SOUTHERN GUILFORD MIDDLE 27406,North Carolina,NORTH CAROLINA,NC,Southern Guilford Middle,370192000816,Guilford County Schools,3701920,5747 Drake Rd,†,†,27406,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,35.944406,-79.851913,NC-410-313,NC-410,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,644,5,62,206,213,128,"=""0""",30,38.80,16.60
SOUTHERN LEE HIGH SCHOOL,4.1,14,SOUTHERN LEE HIGH SCHOOL 27332,North Carolina,NORTH CAROLINA,NC,Southern Lee High School,370256002781,Lee County Schools,3702560,2301 Tramway Road,†,†,27332,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.4349,-79.1855,NC-530-343,NC-530,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,1200,14,8,428,229,469,2,50,75.05,15.99
SOUTHERN MIDDLE,3.6,7,SOUTHERN MIDDLE 28315,North Carolina,NORTH CAROLINA,NC,Southern Middle,370309002533,Moore County Schools,3703090,717 Johnson Street,†,†,28315,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,35.1546,-79.4263,NC-630-350,NC-630,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,738,11,14,126,274,257,"=""0""",56,47.15,15.65
SOUTHERN MIDDLE,3.5,6,SOUTHERN MIDDLE 27573,North Carolina,NORTH CAROLINA,NC,Southern Middle,370363001486,Person County Schools,3703630,209 Southern Middle Sch Rd,†,†,27573,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,32-Town: Distant,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,36.3785,-78.9917,NC-730-360,NC-730,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,475,"=""0""",1,62,136,248,"=""0""",28,32.41,14.66
SOUTHERN NASH MIDDLE,4,8,SOUTHERN NASH MIDDLE 27882,North Carolina,NORTH CAROLINA,NC,Southern Nash Middle,370327001353,Nash County Public Schools,3703270,5301 South NC Highway 581,†,†,27882,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.8755,-78.0899,NC-640-362,NC-640,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,835,"=""0""","=""0""",300,166,332,"=""0""",37,44.00,18.98
SOUTHERN PINES ELEMENTARY,4.3,12,SOUTHERN PINES ELEMENTARY 28387,North Carolina,NORTH CAROLINA,NC,Southern Pines Elementary,370309001327,Moore County Schools,3703090,255 S May St,†,†,28387,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,32-Town: Distant,1-Yes,1-Yes,5-Title I schoolwide school,35.1701,-79.3916,NC-630-356,NC-630,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,3rd Grade,5th Grade,287,2,"=""0""",17,128,119,"=""0""",21,19.83,14.47
SOUTHERN SCHOOL OF ENERGY AND SUSTAINABI,3.3,31,SOUTHERN SCHOOL OF ENERGY AND SUSTAINABI 27703,North Carolina,NORTH CAROLINA,NC,Southern School of Energy and Sustainabi,370126000550,Durham Public Schools,3701260,800 Clayton Road,†,†,27703,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,1-Yes,11-City: Large,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.9999,-78.8291,NC-320-368,NC-320,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,High,9th Grade,12th Grade,1231,2,11,550,596,31,2,39,83.00,14.83
SOUTHERN WAKE ACADEMY,3.7,42,SOUTHERN WAKE ACADEMY 27540,North Carolina,NORTH CAROLINA,NC,Southern Wake Academy,370011402554,Southern Wake Academy,3700114,5108 Old Powell Rd,†,†,27540,1-Regular school,7-Independent Charter District,1-Open,1-Open,12/14/2020,1-Yes,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,35.611962,-78.818763,NC-92P-000,NC-92P,No,NOTVIRTUAL,"=""01SBE""",High,6th Grade,12th Grade,775,1,10,54,55,587,"=""0""",68,46.58,16.64
SOUTHERN WAYNE HIGH,4.1,11,SOUTHERN WAYNE HIGH 28333,North Carolina,NORTH CAROLINA,NC,Southern Wayne High,370488001963,Wayne County Public Schools,3704880,124 Walter Fulcher Rd,†,†,28333,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.2538,-78.045,NC-960-380,NC-960,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,1022,"=""0""",1,375,312,300,1,33,70.50,14.50
SOUTHMONT ELEMENTARY,3.3,6,SOUTHMONT ELEMENTARY 27292,North Carolina,NORTH CAROLINA,NC,Southmont Elementary,370114003119,Davidson County Schools,3701140,398 Owen Rd,†,†,27292,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,5-Title I schoolwide school,35.66452,-80.27174,NC-290-307,NC-290,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,Elementary,Prekindergarten,5th Grade,280,"=""0""","=""0""",20,2,241,1,16,19.26,14.54
SOUTHMONT ELEMENTARY SCHOOL,3.7,3,SOUTHMONT ELEMENTARY SCHOOL 27205,North Carolina,NORTH CAROLINA,NC,Southmont Elementary School,370378002606,Randolph County School System,3703780,2497 Southmont School Road,†,†,27205,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,35.648,-79.8495,NC-760-359,NC-760,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,550,1,3,234,15,276,1,20,37.99,14.48
SOUTHPORT ELEMENTARY,3,6,SOUTHPORT ELEMENTARY 28461,North Carolina,NORTH CAROLINA,NC,Southport Elementary,370042000129,Brunswick County Schools,3700420,701 West 9th Street,†,†,28461,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,33.9251,-78.032,NC-100-336,NC-100,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Kindergarten,5th Grade,444,"=""0""",8,32,44,332,1,27,29.44,15.08
SOUTHSIDE HIGH,4.5,10,SOUTHSIDE HIGH 27817,North Carolina,NORTH CAROLINA,NC,Southside High,370033002504,Beaufort County Schools,3700330,5700 Hwy 33 East,†,†,27817,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,42-Rural: Distant,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,35.445758,-77.056743,NC-070-339,NC-070,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,404,1,1,56,136,189,"=""0""",21,28.00,14.43
SOUTHWEST EDGECOMBE HIGH,1.9,14,SOUTHWEST EDGECOMBE HIGH 27864,North Carolina,NORTH CAROLINA,NC,SouthWest Edgecombe High,370132000559,Edgecombe County Public Schools,3701320,5912 NC 43 North,†,†,27864,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.83652,-77.658317,NC-330-350,NC-330,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,High,9th Grade,12th Grade,750,1,1,74,328,319,1,26,44.91,16.70
SOUTHWEST ELEMENTARY,4,13,SOUTHWEST ELEMENTARY 28540,North Carolina,NORTH CAROLINA,NC,Southwest Elementary,370345001233,Onslow County Schools,3703450,2601 Burgaw Hwy,†,†,28540,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,22-Suburb: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,34.7327,-77.526,NC-670-343,NC-670,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,638,7,3,105,77,380,4,62,44.50,14.34
SOUTHWEST ELEMENTARY,4.3,12,SOUTHWEST ELEMENTARY 27265,North Carolina,NORTH CAROLINA,NC,Southwest Elementary,370192002041,Guilford County Schools,3701920,4372 Southwest School Road,†,†,27265,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,12-City: Mid-size,†,2-No,6-Not a Title I school,36.0449,-79.9819,NC-410-559,NC-410,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Kindergarten,5th Grade,717,1,192,81,132,279,"=""0""",32,48.76,14.70
SOUTHWEST ELEMENTARY,4.5,10,SOUTHWEST ELEMENTARY 27713,North Carolina,NORTH CAROLINA,NC,Southwest Elementary,370126002218,Durham Public Schools,3701260,2320 Cook Road,†,†,27713,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,11-City: Large,1-Yes,1-Yes,5-Title I schoolwide school,35.9289,-78.924,NC-320-372,NC-320,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,658,1,19,150,297,158,"=""0""",33,47.50,13.85
SOUTHWEST ELEMENTARY,3.7,7,SOUTHWEST ELEMENTARY 27012,North Carolina,NORTH CAROLINA,NC,Southwest Elementary,370150000641,Winston Salem / Forsyth County Schools,3701500,1631 Southwest School Drive,†,†,27012,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,21-Suburb: Large,†,2-No,6-Not a Title I school,36.068,-80.3833,NC-340-528,NC-340,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,539,1,33,63,62,359,"=""0""",21,37.98,14.19
SOUTHWEST ELEMENTARY SCHOOL,4.4,8,SOUTHWEST ELEMENTARY SCHOOL 27292,North Carolina,NORTH CAROLINA,NC,Southwest Elementary School,370264001104,Lexington City Schools,3702640,434 Central Avenue,†,†,27292,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,21-Suburb: Large,1-Yes,1-Yes,5-Title I schoolwide school,35.81794,-80.280527,NC-291-352,NC-291,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,1st Grade,5th Grade,409,"=""0""",11,134,126,105,"=""0""",33,26.93,15.19
SOUTHWEST GUILFORD HIGH,3.4,23,SOUTHWEST GUILFORD HIGH 27265,North Carolina,NORTH CAROLINA,NC,Southwest Guilford High,370192002042,Guilford County Schools,3701920,4364 Barrow Road,†,†,27265,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,12-City: Mid-size,2-No,1-Yes,1-Title I targeted assistance eligible school-No program,36.0467,-79.9888,NC-410-562,NC-410,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,High,9th Grade,12th Grade,1607,"=""0""",145,200,563,616,"=""0""",83,88.38,18.18
SOUTHWEST GUILFORD MIDDLE,3,29,SOUTHWEST GUILFORD MIDDLE 27265,North Carolina,NORTH CAROLINA,NC,Southwest Guilford Middle,370192000577,Guilford County Schools,3701920,4368 Southwest School Road,†,†,27265,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,12-City: Mid-size,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,36.0447,-79.9843,NC-410-565,NC-410,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,1022,1,113,124,410,313,3,58,64.14,15.93
SOUTHWEST HIGH,3.1,13,SOUTHWEST HIGH 28540,North Carolina,NORTH CAROLINA,NC,Southwest High,370345001431,Onslow County Schools,3703450,1420 Burgaw Hwy,†,†,28540,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,22-Suburb: Mid-size,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,34.749,-77.4827,NC-670-344,NC-670,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,High,9th Grade,12th Grade,620,4,1,77,113,363,3,59,40.00,15.50
SOUTHWEST MIDDLE,2.7,14,SOUTHWEST MIDDLE 28540,North Carolina,NORTH CAROLINA,NC,Southwest Middle,370345002273,Onslow County Schools,3703450,3000 Furia Dr,†,†,28540,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,22-Suburb: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,34.741,-77.4778,NC-670-345,NC-670,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,Middle,6th Grade,8th Grade,434,"=""0""",1,50,67,263,1,52,28.00,15.50
SOUTHWEST MIDDLE,3.7,22,SOUTHWEST MIDDLE 28052,North Carolina,NORTH CAROLINA,NC,Southwest Middle,370162000712,Gaston County Schools,3701620,1 Roadrunner Drive,†,†,28052,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,13-City: Small,1-Yes,1-Yes,5-Title I schoolwide school,35.2312,-81.2075,NC-360-498,NC-360,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,834,3,1,227,276,271,"=""0""",56,53.18,15.68
SOUTHWEST MIDDLE SCHOOL,2.3,60,SOUTHWEST MIDDLE SCHOOL 28273,North Carolina,NORTH CAROLINA,NC,Southwest Middle School,370297002678,Charlotte-Mecklenburg Schools,3702970,13624 Steele Creek Rd,†,†,28273,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,11-City: Large,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.1072,-80.9907,NC-600-538,NC-600,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,1383,1,69,529,561,192,6,25,84.17,16.43
SOUTHWESTERN RANDOLPH HIGH SCHOOL,3,8,SOUTHWESTERN RANDOLPH HIGH SCHOOL 27205,North Carolina,NORTH CAROLINA,NC,Southwestern Randolph High School,370378001530,Randolph County School System,3703780,1641 Hopewell Friends Rd,†,†,27205,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,42-Rural: Distant,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.624705,-79.869737,NC-760-358,NC-760,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,High,9th Grade,12th Grade,801,3,7,173,9,591,"=""0""",18,46.15,17.36
SOUTHWESTERN RANDOLPH MIDDLE,5,6,SOUTHWESTERN RANDOLPH MIDDLE 27205,North Carolina,NORTH CAROLINA,NC,Southwestern Randolph Middle,370378002276,Randolph County School System,3703780,1509 Hopewell Friends Rd,†,†,27205,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,4-Title I schoolwide eligible school-No program,35.6225,-79.8676,NC-760-360,NC-760,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Middle,6th Grade,8th Grade,552,1,2,174,12,350,"=""0""",13,28.81,19.16
SOUTHWOOD ELEMENTARY,4.2,5,SOUTHWOOD ELEMENTARY 28504,North Carolina,NORTH CAROLINA,NC,Southwood Elementary,370261001095,Lenoir County Public Schools,3702610,1245 Hwy 58 South,†,†,28504,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,35.208,-77.5646,NC-540-340,NC-540,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Kindergarten,5th Grade,261,1,2,41,30,164,"=""0""",23,22.00,11.86
SOUTHWOOD ELEMENTARY,5,6,SOUTHWOOD ELEMENTARY 27292,North Carolina,NORTH CAROLINA,NC,Southwood Elementary,370114002036,Davidson County Schools,3701140,5850 NC Hwy 8,†,†,27292,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,41-Rural: Fringe,1-Yes,1-Yes,5-Title I schoolwide school,35.7327,-80.268,NC-290-366,NC-290,Yes participating without using any Provision or the CEO,SUPPVIRTUAL,†,Elementary,Prekindergarten,5th Grade,592,1,6,96,23,414,"=""0""",52,42.00,14.10
SPARTA ELEMENTARY,5,2,SPARTA ELEMENTARY 28675,North Carolina,NORTH CAROLINA,NC,Sparta Elementary,370012000040,Alleghany County Schools,3700120,450 N Main Street,†,†,28675,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,2-No,43-Rural: Remote,1-Yes,1-Yes,5-Title I schoolwide school,36.509879,-81.125518,NC-030-320,NC-030,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,8th Grade,532,1,1,152,4,361,1,12,47.18,11.28
SPEAS ELEMENTARY,2.8,12,SPEAS ELEMENTARY 27106,North Carolina,NORTH CAROLINA,NC,Speas Elementary,370150000642,Winston Salem / Forsyth County Schools,3701500,2000 W Polo Road,†,†,27106,1-Regular school,1-Regular local school district that is NOT a component of a supervisory union,1-Open,1-Open,12/14/2020,2-No,1-Yes,12-City: Mid-size,1-Yes,1-Yes,5-Title I schoolwide school,36.1303,-80.2963,NC-340-530,NC-340,Yes participating without using any Provision or the CEO,NOTVIRTUAL,†,Elementary,Prekindergarten,5th Grade,780,"=""0""",5,253,302,163,"=""0""",57,43.67,17.86
